convert_2_file::2024/03/07 17:19:55.292 | MainProcess | INFO | run_batch | write_data_to_tmp_file::175 | 28492 >>> Inserted Rows: (5) in Tmp files. Record Changed: {'ApplicationCode': 'nan -> 43', 'AccountOwner': 'nan -> 44', 'AccountName': 'nan -> 45', 'AccountType': 'nan -> 46', 'EntitlementName': 'nan -> 47', 'SecondEntitlementName': 'nan -> 48', 'ThirdEntitlementName': 'nan -> 49', 'AccountStatus': 'nan -> 50', 'IsPrivileged': 'nan -> 51', 'AccountDescription': 'nan -> 52', 'CreateDate': 'nan -> 2024-03-07', 'LastLogin': 'nan -> 54', 'LastUpdatedDate': 'nan -> 2024-03-07 17:19:55', 'AdditionalAttribute': 'nan -> 56'}
convert_2_file::2024/03/07 17:19:55.293 | MainProcess | INFO | run_batch | write_data_to_tmp_file::175 | 28492 >>> Inserted Rows: (6) in Tmp files. Record Changed: {'ApplicationCode': 'nan -> 57', 'AccountOwner': 'nan -> 58', 'AccountName': 'nan -> 59', 'AccountType': 'nan -> 60', 'EntitlementName': 'nan -> 61', 'SecondEntitlementName': 'nan -> 62', 'ThirdEntitlementName': 'nan -> 63', 'AccountStatus': 'nan -> 64', 'IsPrivileged': 'nan -> 65', 'AccountDescription': 'nan -> 66', 'CreateDate': 'nan -> 2024-03-07', 'LastLogin': 'nan -> 68', 'LastUpdatedDate': 'nan -> 2024-03-07 17:19:55', 'AdditionalAttribute': 'nan -> 70'}
convert_2_file::2024/03/07 17:19:55.294 | MainProcess | INFO | run_batch | write_data_to_tmp_file::175 | 28492 >>> Inserted Rows: (7) in Tmp files. Record Changed: {'ApplicationCode': 'nan -> 71', 'AccountOwner': 'nan -> 72', 'AccountName': 'nan -> 73', 'AccountType': 'nan -> 74', 'EntitlementName': 'nan -> 75', 'SecondEntitlementName': 'nan -> 76', 'ThirdEntitlementName': 'nan -> 77', 'AccountStatus': 'nan -> 78', 'IsPrivileged': 'nan -> 79', 'AccountDescription': 'nan -> 80', 'CreateDate': 'nan -> 2024-03-07', 'LastLogin': 'nan -> 82', 'LastUpdatedDate': 'nan -> 2024-03-07 17:19:55', 'AdditionalAttribute': 'nan -> 83'}
convert_2_file::2024/03/07 17:19:55.294 | MainProcess | INFO | run_batch | write_data_to_tmp_file::175 | 28492 >>> Inserted Rows: (8) in Tmp files. Record Changed: {'ApplicationCode': 'nan -> 84', 'AccountOwner': 'nan -> 85', 'AccountName': 'nan -> 86', 'AccountType': 'nan -> 87', 'EntitlementName': 'nan -> 88', 'SecondEntitlementName': 'nan -> 89', 'ThirdEntitlementName': 'nan -> 90', 'AccountStatus': 'nan -> 91', 'IsPrivileged': 'nan -> 92', 'AccountDescription': 'nan -> 93', 'CreateDate': 'nan -> 2024-03-07', 'LastLogin': 'nan -> 95', 'LastUpdatedDate': 'nan -> 2024-03-07 17:19:55', 'AdditionalAttribute': 'nan -> 96'}
convert_2_file::2024/03/07 17:19:55.306 | MainProcess | INFO | run_batch | write_data_to_tmp_file::197 | 28492 >>> Write to Tmp files status: successed.
convert_2_file::2024/03/07 17:19:55.306 | MainProcess | INFO | run_batch | write_data_to_target_file::207 | 28492 >>> Write Data to Target files..
convert_2_file::2024/03/07 17:19:55.318 | MainProcess | INFO | verify_data | append_target_data::173 | 28492 >>> Append Target Data..
convert_2_file::2024/03/07 17:19:55.320 | MainProcess | INFO | verify_data | validation_data::121 | 28492 >>> Verify Changed information..
convert_2_file::2024/03/07 17:19:55.344 | MainProcess | INFO | run_batch | write_data_to_target_file::267 | 28492 >>> No Change Rows: (5) in Target files.
convert_2_file::2024/03/07 17:19:55.345 | MainProcess | INFO | run_batch | write_data_to_target_file::267 | 28492 >>> No Change Rows: (6) in Target files.
convert_2_file::2024/03/07 17:19:55.345 | MainProcess | INFO | run_batch | write_data_to_target_file::267 | 28492 >>> No Change Rows: (7) in Target files.
convert_2_file::2024/03/07 17:19:55.345 | MainProcess | INFO | run_batch | write_data_to_target_file::267 | 28492 >>> No Change Rows: (8) in Target files.
convert_2_file::2024/03/07 17:19:55.346 | MainProcess | INFO | run_batch | write_data_to_target_file::267 | 28492 >>> Inserted Rows: (9) in Target files. Record Changed: {'ApplicationCode': 'nan -> 15', 'AccountOwner': 'nan -> 16', 'AccountName': 'nan -> 17', 'AccountType': 'nan -> 18', 'EntitlementName': 'nan -> 19', 'SecondEntitlementName': 'nan -> 20', 'ThirdEntitlementName': 'nan -> 21', 'AccountStatus': 'nan -> 22', 'IsPrivileged': 'nan -> 23', 'AccountDescription': 'nan -> 24', 'CreateDate': 'nan -> 2024-03-07', 'LastLogin': 'nan -> 26', 'LastUpdatedDate': 'nan -> 2024-03-07 17:19:55', 'AdditionalAttribute': 'nan -> 28'}
convert_2_file::2024/03/07 17:19:55.346 | MainProcess | INFO | run_batch | write_data_to_target_file::267 | 28492 >>> Inserted Rows: (10) in Target files. Record Changed: {'ApplicationCode': 'nan -> 29', 'AccountOwner': 'nan -> 30', 'AccountName': 'nan -> 31', 'AccountType': 'nan -> 32', 'EntitlementName': 'nan -> 33', 'SecondEntitlementName': 'nan -> 34', 'ThirdEntitlementName': 'nan -> 35', 'AccountStatus': 'nan -> 36', 'IsPrivileged': 'nan -> 37', 'AccountDescription': 'nan -> 38', 'CreateDate': 'nan -> 2024-03-07', 'LastLogin': 'nan -> 40', 'LastUpdatedDate': 'nan -> 2024-03-07 17:19:55', 'AdditionalAttribute': 'nan -> 42'}
convert_2_file::2024/03/07 17:19:55.346 | MainProcess | INFO | run_batch | write_data_to_target_file::267 | 28492 >>> Inserted Rows: (11) in Target files. Record Changed: {'ApplicationCode': 'nan -> 43', 'AccountOwner': 'nan -> 44', 'AccountName': 'nan -> 45', 'AccountType': 'nan -> 46', 'EntitlementName': 'nan -> 47', 'SecondEntitlementName': 'nan -> 48', 'ThirdEntitlementName': 'nan -> 49', 'AccountStatus': 'nan -> 50', 'IsPrivileged': 'nan -> 51', 'AccountDescription': 'nan -> 52', 'CreateDate': 'nan -> 2024-03-07', 'LastLogin': 'nan -> 54', 'LastUpdatedDate': 'nan -> 2024-03-07 17:19:55', 'AdditionalAttribute': 'nan -> 56'}
convert_2_file::2024/03/07 17:19:55.355 | MainProcess | INFO | run_batch | write_data_to_target_file::275 | 28492 >>> Write to Target Files status: successed.
convert_2_file::2024/03/07 17:19:55.356 | MainProcess | INFO | main | __init__::34 | 28492 >>> Stop Batch Date 2024-03-07
==============================================================================================================================================================

convert_2_file::2024/03/07 17:23:21.061 | MainProcess | INFO | main | __init__::21 | 19596 >>> Start Run Batch Date: 2024-03-07
convert_2_file::2024/03/07 17:23:21.061 | MainProcess | INFO | run_batch | wrapper_success_files::38 | 19596 >>> Check Success files..
convert_2_file::2024/03/07 17:23:21.062 | MainProcess | INFO | run_batch | wrapper_success_files::56 | 19596 >>> File found count 9 status: successed.
convert_2_file::2024/03/07 17:23:21.063 | MainProcess | INFO | run_batch | get_data_files::99 | 19596 >>> Get Data from files..
convert_2_file::2024/03/07 17:23:21.063 | MainProcess | INFO | run_batch | get_data_files::112 | 19596 >>> Read Text files: 'D:\Document\Coding\Project\convert_2_files\raw/ADM.txt'.
convert_2_file::2024/03/07 17:23:21.063 | MainProcess | INFO | verify_data | generate_text_data::103 | 19596 >>> Cleansing Data in Text files to Dataframe..
convert_2_file::2024/03/07 17:23:21.064 | MainProcess | INFO | run_batch | get_data_files::109 | 19596 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/BOS.xlsx'.
convert_2_file::2024/03/07 17:23:21.065 | MainProcess | INFO | verify_data | generate_excel_data::41 | 19596 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/07 17:23:21.068 | MainProcess | INFO | run_batch | get_data_files::109 | 19596 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/CUM.xls'.
convert_2_file::2024/03/07 17:23:21.068 | MainProcess | INFO | verify_data | generate_excel_data::41 | 19596 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/07 17:23:21.070 | MainProcess | INFO | run_batch | get_data_files::112 | 19596 >>> Read Text files: 'D:\Document\Coding\Project\convert_2_files\raw/DocImage.txt'.
convert_2_file::2024/03/07 17:23:21.070 | MainProcess | INFO | verify_data | generate_text_data::103 | 19596 >>> Cleansing Data in Text files to Dataframe..
convert_2_file::2024/03/07 17:23:21.071 | MainProcess | INFO | run_batch | get_data_files::109 | 19596 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/ICAS-NCR.xlsx'.
convert_2_file::2024/03/07 17:23:21.071 | MainProcess | INFO | verify_data | generate_excel_data::41 | 19596 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/07 17:23:21.073 | MainProcess | INFO | run_batch | get_data_files::109 | 19596 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/IIC.xlsx'.
